Student Name,Student ID,GPA,Tardies,Grade Level,Absences,Missing Assignments
Student 1777,2777,2.63,5,11,1,3
Student 1778,2778,1.9,10,12,6,5
Student 1779,2779,2.19,7,9,10,0
Student 1780,2780,2.59,8,12,6,0
Student 1781,2781,0.96,3,9,11,2
Student 1782,2782,2.76,5,9,7,5
Student 1783,2783,1.69,9,11,15,3
Student 1784,2784,2.08,3,12,15,4
Student 1785,2785,1.31,9,12,7,3
Student 1786,2786,1.16,9,11,10,4
Student 1787,2787,3.44,6,12,6,0
Student 1788,2788,2.14,6,10,0,0
Student 1789,2789,2.15,2,10,4,5
Student 1790,2790,2.95,7,12,13,5
Student 1791,2791,4.17,10,9,9,5
Student 1792,2792,0.94,2,9,6,2
Student 1793,2793,0.81,8,12,1,3
Student 1794,2794,3.4,5,11,11,5
Student 1795,2795,1.71,6,10,12,1
Student 1796,2796,1.29,10,10,14,2
Student 1797,2797,2.12,3,10,2,0
Student 1798,2798,2.23,6,10,0,0
Student 1799,2799,1.2,8,12,0,3
Student 1800,2800,4.23,7,11,5,4
Student 1801,2801,3.95,1,12,0,2
Student 1802,2802,2.35,7,10,14,2
Student 1803,2803,2.84,2,11,9,4
Student 1804,2804,2.09,5,11,13,2
Student 1805,2805,1.23,8,11,11,0
Student 1806,2806,2.98,1,9,15,1
Student 1807,2807,3.41,5,11,0,3
Student 1808,2808,0.98,6,11,12,1
Student 1809,2809,2.5,8,9,0,1
Student 1810,2810,0.8,10,10,0,2
Student 1811,2811,2.4,6,12,12,4
Student 1812,2812,1.82,5,10,1,2
Student 1813,2813,4.11,5,11,11,2
Student 1814,2814,1.14,2,11,2,1
Student 1815,2815,1.69,4,12,14,1
Student 1816,2816,2.76,2,9,15,5
Student 1817,2817,1.85,2,9,4,2
Student 1818,2818,3.02,4,11,13,3
Student 1819,2819,3.89,7,11,13,2
Student 1820,2820,3.5,6,10,0,4
Student 1821,2821,3.19,3,9,8,2
Student 1822,2822,1.47,0,9,15,3
Student 1823,2823,0.98,2,12,15,2
Student 1824,2824,3.89,9,12,14,1
Student 1825,2825,3.46,8,11,9,4
Student 1826,2826,1.18,10,11,8,2
Student 1827,2827,3.07,6,11,10,1
Student 1828,2828,1.7,1,11,11,4
Student 1829,2829,0.55,0,11,0,0
Student 1830,2830,3.65,5,12,0,0
Student 1831,2831,2.53,5,12,13,4
Student 1832,2832,1.39,5,11,1,0
Student 1833,2833,1.16,5,10,2,5
Student 1834,2834,3.57,2,10,11,2
Student 1835,2835,3.74,7,11,11,1
Student 1836,2836,3.24,0,11,7,0
Student 1837,2837,1.61,6,12,9,5
Student 1838,2838,2.73,1,12,9,4
Student 1839,2839,2.27,9,9,13,1
Student 1840,2840,1.37,4,11,11,3
Student 1841,2841,2.79,9,12,13,2
Student 1842,2842,2.82,6,12,4,4
Student 1843,2843,3.87,1,9,8,2
Student 1844,2844,1.87,6,12,6,3
Student 1845,2845,1.99,7,10,0,5
Student 1846,2846,3.01,9,11,11,5
Student 1847,2847,1.82,3,10,3,0
Student 1848,2848,2.67,1,9,15,2
Student 1849,2849,3.91,8,10,13,3
Student 1850,2850,3.22,7,9,6,0
Student 1851,2851,1.17,1,9,10,1
Student 1852,2852,3.79,10,10,0,2
Student 1853,2853,4.29,5,9,13,2
Student 1854,2854,3.29,6,11,1,1
Student 1855,2855,2.3,3,9,12,2
Student 1856,2856,0.58,1,10,4,0
Student 1857,2857,3.64,10,10,11,3
Student 1858,2858,1.08,6,12,9,2
Student 1859,2859,2.29,3,10,11,2
Student 1860,2860,1.55,3,11,8,4
Student 1861,2861,2.3,8,9,15,0
Student 1862,2862,1.71,8,9,2,2
Student 1863,2863,0.85,4,10,13,0
Student 1864,2864,1.98,0,10,0,4
Student 1865,2865,1.58,10,9,11,4
Student 1866,2866,2.27,3,12,1,2
Student 1867,2867,4.15,5,12,11,0
Student 1868,2868,3.94,6,11,15,5
Student 1869,2869,4.3,10,11,5,4
Student 1870,2870,4.2,9,10,11,4
Student 1871,2871,2.98,1,10,8,3
Student 1872,2872,1.21,8,9,11,5
Student 1873,2873,2.66,10,12,4,4
Student 1874,2874,2.36,10,11,14,2
Student 1875,2875,1.33,1,10,7,1
Student 1876,2876,3.15,10,9,0,2
Student 1877,2877,2.34,5,12,8,5
Student 1878,2878,1.3,8,9,5,1
Student 1879,2879,2.77,3,11,15,0
Student 1880,2880,3.82,9,12,1,2
Student 1881,2881,3.93,7,12,3,2
Student 1882,2882,1.6,6,11,3,5
Student 1883,2883,3.24,1,10,11,3
Student 1884,2884,3.37,5,10,12,3
Student 1885,2885,1.5,10,12,0,1
Student 1886,2886,1.62,2,10,6,0
Student 1887,2887,2.22,8,11,0,2
Student 1888,2888,0.84,4,11,0,2
Student 1889,2889,3.78,5,11,3,5
Student 1890,2890,0.75,0,12,7,3
Student 1891,2891,3.99,3,9,9,4
Student 1892,2892,4.1,1,12,6,0
Student 1893,2893,1.95,2,10,7,0
Student 1894,2894,1.54,4,12,5,1
Student 1895,2895,3.67,0,11,7,2
Student 1896,2896,2.47,3,11,4,0
Student 1897,2897,2.11,4,12,6,0
Student 1898,2898,3.78,4,12,4,2
Student 1899,2899,2.86,10,10,13,4
Student 1900,2900,2.28,2,10,5,2
Student 1901,2901,1.94,6,10,4,0
Student 1902,2902,0.61,4,10,9,3
Student 1903,2903,0.71,0,11,4,0
Student 1904,2904,3.79,2,11,13,0
Student 1905,2905,3.31,1,12,2,4
Student 1906,2906,2.33,0,12,3,1
Student 1907,2907,1.27,5,12,9,0
Student 1908,2908,1.28,1,12,3,5
Student 1909,2909,3.82,10,9,7,0
Student 1910,2910,2.57,0,11,15,1
Student 1911,2911,0.92,10,10,15,3
Student 1912,2912,1.69,1,11,9,1
Student 1913,2913,0.66,1,9,2,3
Student 1914,2914,0.7,1,11,13,4
Student 1915,2915,3.43,3,9,7,1
Student 1916,2916,3.52,8,12,5,3
Student 1917,2917,3.16,4,10,0,3
Student 1918,2918,1.7,4,10,4,0
Student 1919,2919,2.59,2,9,1,1
Student 1920,2920,0.54,5,10,12,4
Student 1921,2921,1.49,2,11,13,2
Student 1922,2922,0.75,3,11,13,0
Student 1923,2923,1.4,1,10,4,1
Student 1924,2924,1.12,9,11,4,2
Student 1925,2925,3.92,10,10,9,3
Student 1926,2926,2.38,4,10,6,0
Student 1927,2927,1.92,3,10,14,4
Student 1928,2928,1.5,2,10,6,4
Student 1929,2929,3.54,6,10,12,1
Student 1930,2930,2.9,2,10,15,1
Student 1931,2931,1.53,3,9,11,0
Student 1932,2932,2.96,8,12,9,1
Student 1933,2933,0.84,6,12,7,2
Student 1934,2934,4.05,0,9,5,0
Student 1935,2935,2.15,9,9,7,5
Student 1936,2936,3.49,3,11,13,1
Student 1937,2937,3.73,3,11,7,1
Student 1938,2938,2.04,3,9,12,1
Student 1939,2939,1.74,6,11,0,3
Student 1940,2940,4.25,6,12,11,5
Student 1941,2941,1.66,1,9,7,3
Student 1942,2942,1.31,0,10,9,2
Student 1943,2943,3.84,2,10,7,2
Student 1944,2944,3.02,3,10,9,0
Student 1945,2945,3.65,4,9,13,0
Student 1946,2946,1.6,4,12,5,0
Student 1947,2947,1.74,2,11,14,3
Student 1948,2948,3.14,5,10,7,2
Student 1949,2949,2.95,5,10,4,1
Student 1950,2950,4.27,8,11,2,3
Student 1951,2951,3.14,4,10,12,0
Student 1952,2952,1.07,6,9,7,4
Student 1953,2953,1.3,1,10,8,3
Student 1954,2954,2.53,0,9,5,3
Student 1955,2955,4.12,5,9,9,1
Student 1956,2956,3.71,0,9,4,3
Student 1957,2957,1.09,3,10,3,5
Student 1958,2958,2.79,4,9,2,2
Student 1959,2959,0.94,6,10,11,3
Student 1960,2960,3.74,0,11,8,4
Student 1961,2961,1.04,4,9,7,1
Student 1962,2962,0.77,8,11,8,1
Student 1963,2963,1.29,10,9,0,0
Student 1964,2964,2.59,6,10,2,4
Student 1965,2965,0.58,0,9,3,4
Student 1966,2966,0.55,6,11,10,2
Student 1967,2967,3.58,1,9,15,4
Student 1968,2968,2.99,2,11,4,4
Student 1969,2969,0.89,10,11,12,0
Student 1970,2970,3.43,4,12,0,1
Student 1971,2971,3.5,2,12,11,1
Student 1972,2972,1.89,6,10,5,2
Student 1973,2973,1.94,3,11,3,4
Student 1974,2974,2.44,1,10,0,1
Student 1975,2975,3.32,7,11,14,1
Student 1976,2976,2.84,5,10,9,3
Student 1977,2977,3.88,6,10,13,1
Student 1978,2978,1.74,7,10,12,4
Student 1979,2979,1.09,9,12,5,3
Student 1980,2980,3.94,2,9,14,1
Student 1981,2981,1.17,10,11,9,1
Student 1982,2982,2.48,7,9,3,2
Student 1983,2983,3.5,9,11,0,2
Student 1984,2984,2.48,10,10,0,3
Student 1985,2985,2.98,10,9,5,2
Student 1986,2986,3.79,0,11,6,1
Student 1987,2987,1.04,1,9,12,0
Student 1988,2988,1.52,4,10,4,4
Student 1989,2989,1.2,3,9,1,5
Student 1990,2990,3.3,0,9,4,3
Student 1991,2991,2.87,4,9,8,0
Student 1992,2992,0.93,8,11,11,1
Student 1993,2993,1.34,6,10,10,3
Student 1994,2994,1.92,3,12,7,1
Student 1995,2995,2.55,10,9,13,2
Student 1996,2996,2.42,4,11,10,4
Student 1997,2997,4.13,2,11,2,1
Student 1998,2998,3.15,4,11,2,0
Student 1999,2999,2.95,5,12,5,2
Student 2000,3000,1.75,5,9,5,1
Student 2001,3001,1.46,2,12,8,4
Student 2002,3002,2.32,2,11,3,5
Student 2003,3003,2.14,8,12,12,5
Student 2004,3004,1.46,5,12,0,5
Student 2005,3005,3.03,9,12,6,4
Student 2006,3006,4.2,8,9,15,1
Student 2007,3007,2.0,9,12,14,5
Student 2008,3008,2.43,9,9,8,3
Student 2009,3009,1.94,3,10,7,0
Student 2010,3010,4.07,1,12,11,5
Student 2011,3011,2.36,1,11,10,4
Student 2012,3012,2.09,3,12,12,5
Student 2013,3013,2.46,10,11,0,4
Student 2014,3014,1.66,4,9,3,0
Student 2015,3015,2.8,1,12,13,0
Student 2016,3016,1.8,5,9,1,4
Student 2017,3017,2.84,4,9,2,4
Student 2018,3018,0.71,4,11,13,1
Student 2019,3019,1.25,7,11,11,3
Student 2020,3020,2.49,5,11,5,0
Student 2021,3021,0.86,2,11,6,5
Student 2022,3022,3.72,7,10,14,2
Student 2023,3023,1.0,1,12,12,0
Student 2024,3024,1.67,4,9,4,4
Student 2025,3025,1.59,2,9,8,0
Student 2026,3026,4.24,1,12,11,2
Student 2027,3027,2.28,3,10,8,1
Student 2028,3028,1.46,1,10,2,5
Student 2029,3029,1.08,1,11,12,0
Student 2030,3030,3.41,7,9,5,4
Student 2031,3031,2.81,3,9,12,5
Student 2032,3032,1.89,7,11,7,4
Student 2033,3033,3.16,7,9,5,4
Student 2034,3034,3.31,3,11,15,3
Student 2035,3035,1.08,4,10,14,3
Student 2036,3036,1.76,3,12,8,3
Student 2037,3037,2.98,6,12,7,0
Student 2038,3038,1.77,4,12,14,0
Student 2039,3039,1.98,7,11,6,5
Student 2040,3040,1.58,10,11,2,1
Student 2041,3041,3.08,1,9,1,1
Student 2042,3042,3.25,10,12,15,3
Student 2043,3043,1.49,6,12,1,1
Student 2044,3044,1.76,7,9,13,5
Student 2045,3045,3.19,5,11,4,5
Student 2046,3046,4.22,5,10,4,5
Student 2047,3047,1.68,0,9,12,2
Student 2048,3048,1.55,0,10,2,0
Student 2049,3049,3.47,3,11,12,1
Student 2050,3050,2.12,1,9,12,0
Student 2051,3051,1.3,8,10,3,4
Student 2052,3052,4.29,0,11,13,1
Student 2053,3053,3.54,2,11,14,5
Student 2054,3054,1.47,1,10,2,2
Student 2055,3055,3.92,4,9,9,0
Student 2056,3056,4.12,3,12,4,3
Student 2057,3057,1.98,5,10,3,5
Student 2058,3058,3.58,10,11,11,0
Student 2059,3059,1.74,5,11,9,0
Student 2060,3060,3.85,6,10,14,0
Student 2061,3061,1.18,0,10,5,2
Student 2062,3062,1.24,1,12,4,4
Student 2063,3063,0.76,3,12,12,0
Student 2064,3064,0.8,3,10,6,0
Student 2065,3065,3.34,10,12,8,5
Student 2066,3066,0.89,5,12,9,1
Student 2067,3067,1.56,10,11,3,3
Student 2068,3068,2.59,6,12,7,0
Student 2069,3069,2.34,0,11,10,5
Student 2070,3070,1.3,7,12,4,0
Student 2071,3071,4.04,4,9,12,3
Student 2072,3072,1.41,7,12,2,4
Student 2073,3073,3.47,10,9,14,2
Student 2074,3074,4.03,6,9,6,2
Student 2075,3075,3.68,4,11,15,3
Student 2076,3076,0.74,4,10,8,5
Student 2077,3077,2.85,10,12,4,3
Student 2078,3078,1.16,0,12,7,1
Student 2079,3079,0.58,0,10,6,1
Student 2080,3080,2.24,8,9,0,1
Student 2081,3081,3.22,7,12,3,4
Student 2082,3082,1.77,1,9,11,4
Student 2083,3083,3.63,3,11,4,4
Student 2084,3084,3.52,10,9,6,5
Student 2085,3085,4.21,4,9,3,3
Student 2086,3086,3.95,2,10,12,5
Student 2087,3087,2.96,0,12,15,4
Student 2088,3088,2.16,6,12,13,2
Student 2089,3089,0.96,0,9,0,0
Student 2090,3090,2.69,7,11,15,2
Student 2091,3091,2.78,7,11,1,2
Student 2092,3092,1.84,7,12,15,3
Student 2093,3093,3.99,1,10,10,0
Student 2094,3094,1.0,7,12,11,0
Student 2095,3095,2.6,0,9,3,2
Student 2096,3096,4.0,8,9,10,4
Student 2097,3097,2.45,7,9,13,3
Student 2098,3098,1.18,6,9,7,2
Student 2099,3099,1.19,6,12,15,2
Student 2100,3100,2.45,0,11,15,1
Student 2101,3101,1.28,3,11,3,0
Student 2102,3102,0.6,4,9,1,0
Student 2103,3103,2.21,10,12,10,0
Student 2104,3104,0.5,2,11,12,0
Student 2105,3105,2.69,6,9,9,5
Student 2106,3106,1.81,8,12,6,4
Student 2107,3107,3.37,5,12,2,0
Student 2108,3108,0.6,5,12,13,0
Student 2109,3109,2.23,2,10,4,2
Student 2110,3110,2.32,8,11,2,5
Student 2111,3111,2.06,5,9,6,2
Student 2112,3112,0.64,6,9,9,5
Student 2113,3113,2.36,2,12,13,2
Student 2114,3114,3.29,8,9,10,0
Student 2115,3115,1.22,2,11,12,0
Student 2116,3116,2.34,1,12,3,3
Student 2117,3117,1.78,2,9,1,4
Student 2118,3118,1.01,3,12,14,5
Student 2119,3119,4.02,2,9,2,5
Student 2120,3120,1.46,6,11,9,3
Student 2121,3121,3.41,2,9,1,3
Student 2122,3122,2.93,8,9,14,0
Student 2123,3123,4.02,3,11,4,0
Student 2124,3124,2.61,9,10,15,2
Student 2125,3125,2.99,9,12,8,0
Student 2126,3126,4.29,3,9,4,4
Student 2127,3127,0.97,5,9,11,5
Student 2128,3128,2.38,8,12,2,3
Student 2129,3129,1.54,2,9,14,3
Student 2130,3130,2.38,1,12,11,5
Student 2131,3131,3.48,2,11,1,4
Student 2132,3132,3.7,10,10,15,2
Student 2133,3133,0.92,8,11,15,1
Student 2134,3134,0.84,9,9,5,0
Student 2135,3135,4.02,0,10,3,2
Student 2136,3136,2.7,7,9,14,1
Student 2137,3137,1.55,8,11,3,5
Student 2138,3138,0.97,10,9,15,1
Student 2139,3139,1.15,2,11,15,0
Student 2140,3140,1.72,7,11,12,1
Student 2141,3141,1.11,0,10,13,1
Student 2142,3142,0.75,9,12,13,5
Student 2143,3143,2.82,9,9,4,1
Student 2144,3144,1.32,1,12,13,2
Student 2145,3145,3.88,10,10,0,4
Student 2146,3146,3.67,6,10,13,2
Student 2147,3147,1.55,10,9,15,5
Student 2148,3148,4.26,10,10,1,5
Student 2149,3149,0.73,9,11,15,4
Student 2150,3150,2.96,2,9,7,3
Student 2151,3151,3.48,3,9,5,2
Student 2152,3152,2.59,7,10,14,1
Student 2153,3153,3.87,10,11,9,5
Student 2154,3154,1.47,6,11,10,1
Student 2155,3155,2.19,3,10,2,2
Student 2156,3156,2.17,8,9,14,3
Student 2157,3157,1.25,5,10,2,3
Student 2158,3158,0.9,5,11,0,5
Student 2159,3159,3.99,3,12,10,0
Student 2160,3160,3.86,1,11,5,4
Student 2161,3161,3.98,10,9,0,2
Student 2162,3162,1.46,8,11,4,4
Student 2163,3163,2.01,8,12,8,5
Student 2164,3164,4.24,4,10,10,2
Student 2165,3165,3.68,4,9,3,1
Student 2166,3166,0.94,4,10,13,0
Student 2167,3167,1.93,5,12,9,4
Student 2168,3168,0.56,1,12,15,2
Student 2169,3169,3.25,8,11,6,1
Student 2170,3170,2.71,1,11,1,4
Student 2171,3171,2.66,8,9,4,1
Student 2172,3172,3.17,9,9,7,4
Student 2173,3173,2.65,5,10,0,3
Student 2174,3174,2.36,7,11,15,2
Student 2175,3175,2.0,3,9,2,0
Student 2176,3176,3.02,6,9,0,1
Student 2177,3177,2.75,9,9,0,4
Student 2178,3178,1.96,6,12,6,5
Student 2179,3179,1.5,9,10,2,5
Student 2180,3180,2.48,0,11,5,4
Student 2181,3181,4.15,10,10,7,4
Student 2182,3182,3.46,9,9,9,4
Student 2183,3183,2.77,10,9,8,0
Student 2184,3184,2.46,2,10,3,3
Student 2185,3185,4.23,0,10,11,0
Student 2186,3186,1.47,8,10,0,5
Student 2187,3187,0.83,3,12,1,5
Student 2188,3188,2.7,3,9,9,1
Student 2189,3189,1.53,8,12,15,4
Student 2190,3190,3.61,2,9,7,0
Student 2191,3191,0.7,8,9,9,2
Student 2192,3192,2.83,8,12,10,4
Student 2193,3193,2.24,7,11,14,3
Student 2194,3194,3.73,9,9,10,4
Student 2195,3195,0.92,4,9,11,5
Student 2196,3196,2.12,9,11,5,0
Student 2197,3197,3.09,0,10,8,0
Student 2198,3198,2.72,4,10,6,3
Student 2199,3199,4.16,7,9,11,0
Student 2200,3200,2.97,8,12,9,3
Student 2201,3201,0.7,1,11,11,3
Student 2202,3202,3.17,4,10,0,0
Student 2203,3203,0.91,9,11,13,5
Student 2204,3204,4.2,0,9,1,1
Student 2205,3205,0.86,0,10,11,4
Student 2206,3206,2.88,9,10,8,0
Student 2207,3207,1.3,5,12,3,1
Student 2208,3208,0.57,9,10,0,1
Student 2209,3209,1.2,7,9,2,3
Student 2210,3210,4.16,1,12,3,3
Student 2211,3211,1.4,8,10,4,4
Student 2212,3212,2.2,8,12,5,2
Student 2213,3213,3.4,5,10,15,4
Student 2214,3214,2.68,2,11,5,4
Student 2215,3215,1.93,10,12,2,0
Student 2216,3216,0.6,0,9,10,0
Student 2217,3217,2.6,9,10,9,2
Student 2218,3218,1.62,3,10,5,5
Student 2219,3219,1.96,2,12,5,5
Student 2220,3220,1.03,3,10,12,5
Student 2221,3221,3.51,0,10,10,0
Student 2222,3222,4.15,9,11,14,3
Student 2223,3223,3.44,0,12,3,1
Student 2224,3224,3.39,5,9,6,1
Student 2225,3225,2.7,1,10,6,3
Student 2226,3226,1.35,4,12,9,4
Student 2227,3227,3.53,10,12,4,0
Student 2228,3228,3.19,1,10,6,4
Student 2229,3229,1.36,5,9,15,3
Student 2230,3230,1.53,10,10,3,5
Student 2231,3231,2.4,9,12,8,3
Student 2232,3232,2.09,3,12,9,1
Student 2233,3233,2.87,5,9,9,4
Student 2234,3234,0.94,5,10,12,4
Student 2235,3235,3.16,7,9,15,4
Student 2236,3236,1.2,1,11,9,5
Student 2237,3237,1.92,6,12,6,3
Student 2238,3238,0.89,1,10,2,3
Student 2239,3239,1.48,2,10,4,5
Student 2240,3240,1.65,3,11,6,2
Student 2241,3241,1.57,9,12,3,5
Student 2242,3242,3.99,7,9,12,1
Student 2243,3243,2.35,9,10,13,3
Student 2244,3244,2.73,4,9,13,4
Student 2245,3245,3.23,5,12,2,5
Student 2246,3246,3.92,2,9,8,1
Student 2247,3247,3.15,1,12,11,1
Student 2248,3248,4.17,4,9,7,2
Student 2249,3249,1.61,8,9,15,3
Student 2250,3250,3.11,6,10,12,2
Student 2251,3251,2.77,9,11,2,5
Student 2252,3252,0.73,2,11,11,2
Student 2253,3253,2.64,4,9,4,3
Student 2254,3254,1.53,8,12,11,5
Student 2255,3255,1.4,7,12,0,3
Student 2256,3256,0.95,9,10,6,5
Student 2257,3257,4.11,3,10,1,0
Student 2258,3258,0.72,2,12,8,3
Student 2259,3259,0.92,8,12,1,3
Student 2260,3260,2.14,9,11,11,1
Student 2261,3261,2.24,4,9,0,1
Student 2262,3262,2.98,3,11,4,3
Student 2263,3263,2.48,3,11,13,2
Student 2264,3264,3.98,7,12,11,4
Student 2265,3265,1.48,8,11,7,4
Student 2266,3266,3.66,1,10,10,1
Student 2267,3267,4.24,5,9,5,4
Student 2268,3268,2.66,2,12,8,4
Student 2269,3269,3.22,8,10,0,3
Student 2270,3270,3.31,6,9,3,3
Student 2271,3271,2.26,5,9,2,1
Student 2272,3272,3.14,6,10,3,4
Student 2273,3273,2.68,7,11,0,0
Student 2274,3274,1.68,7,10,7,2
Student 2275,3275,4.23,4,12,6,0
Student 2276,3276,4.07,10,10,2,2
Student 2277,3277,1.45,7,12,2,0
Student 2278,3278,2.63,9,9,6,0
Student 2279,3279,3.72,5,11,15,4
Student 2280,3280,3.62,0,12,8,2
Student 2281,3281,1.67,7,10,11,5
Student 2282,3282,2.61,1,11,2,2
Student 2283,3283,3.92,0,9,12,1
Student 2284,3284,2.79,10,10,13,2
Student 2285,3285,3.11,3,9,9,3
Student 2286,3286,3.4,0,10,4,5
Student 2287,3287,4.05,10,10,1,4
Student 2288,3288,4.28,6,11,11,2
Student 2289,3289,1.91,6,9,4,1
Student 2290,3290,1.98,10,10,12,3
Student 2291,3291,3.1,2,9,15,5
Student 2292,3292,1.29,6,11,1,4
Student 2293,3293,3.48,4,9,1,2
Student 2294,3294,2.56,6,12,9,5
Student 2295,3295,0.67,3,9,11,4
Student 2296,3296,2.54,10,9,15,3
Student 2297,3297,3.65,1,9,12,0
Student 2298,3298,2.09,7,10,15,2
Student 2299,3299,2.53,10,9,15,2
Student 2300,3300,1.15,5,9,7,4
Student 2301,3301,1.72,3,11,15,0
Student 2302,3302,1.06,3,12,10,0
Student 2303,3303,3.85,6,10,11,4
Student 2304,3304,1.83,9,11,13,0
Student 2305,3305,0.75,7,12,8,4
Student 2306,3306,2.86,4,10,10,1
Student 2307,3307,2.14,0,10,6,3
Student 2308,3308,1.42,0,11,11,4
Student 2309,3309,4.03,0,11,9,0
Student 2310,3310,1.9,3,10,2,2
Student 2311,3311,3.03,8,10,4,1
Student 2312,3312,0.66,3,9,8,4
Student 2313,3313,3.72,9,11,1,5
Student 2314,3314,4.2,6,10,12,3
Student 2315,3315,3.91,4,12,5,3
Student 2316,3316,2.08,6,12,13,0
Student 2317,3317,3.73,4,12,0,5
Student 2318,3318,2.79,6,12,0,0
Student 2319,3319,4.05,0,12,7,5
Student 2320,3320,3.51,10,11,3,5
Student 2321,3321,3.33,9,9,3,3
Student 2322,3322,2.83,6,10,10,2
Student 2323,3323,3.61,1,12,13,5
Student 2324,3324,1.23,3,9,0,4
Student 2325,3325,3.34,3,12,6,0
Student 2326,3326,1.22,8,12,15,4
Student 2327,3327,2.46,8,12,15,5
Student 2328,3328,3.05,5,10,10,2
Student 2329,3329,2.03,4,11,0,3
Student 2330,3330,2.81,4,12,2,2
Student 2331,3331,0.97,1,12,7,5
Student 2332,3332,1.64,10,12,7,1
Student 2333,3333,1.15,0,9,7,5
Student 2334,3334,3.6,5,11,4,0
Student 2335,3335,3.14,1,10,8,0
Student 2336,3336,2.94,2,12,10,5
Student 2337,3337,3.75,6,9,11,2
Student 2338,3338,3.7,1,12,7,2
Student 2339,3339,1.89,2,12,10,5
Student 2340,3340,2.99,2,9,13,0
Student 2341,3341,0.75,0,12,1,5
Student 2342,3342,3.08,6,9,12,0
Student 2343,3343,1.82,5,11,6,4
Student 2344,3344,2.46,7,12,11,3
Student 2345,3345,0.61,5,9,15,4
Student 2346,3346,2.91,9,9,9,1
Student 2347,3347,3.04,8,10,14,4
Student 2348,3348,3.92,2,9,6,2
Student 2349,3349,4.02,0,11,5,2
Student 2350,3350,2.24,6,11,15,4
Student 2351,3351,1.58,8,10,0,4
Student 2352,3352,3.91,0,10,5,0
Student 2353,3353,3.19,3,12,4,4
Student 2354,3354,0.57,5,10,8,0
Student 2355,3355,0.99,3,9,7,4
Student 2356,3356,2.84,1,9,14,0
Student 2357,3357,2.06,4,12,0,0
Student 2358,3358,1.36,1,11,5,3
Student 2359,3359,2.0,5,10,10,4
Student 2360,3360,1.45,8,10,11,2
Student 2361,3361,3.62,8,11,11,2
Student 2362,3362,2.33,2,10,13,0
Student 2363,3363,2.44,3,11,3,2
Student 2364,3364,1.58,4,12,8,3
Student 2365,3365,0.77,2,12,7,3
Student 2366,3366,0.71,5,10,5,3
Student 2367,3367,3.56,3,12,0,1
Student 2368,3368,3.54,7,10,6,0
Student 2369,3369,0.66,5,10,15,2
Student 2370,3370,0.51,6,11,4,5
Student 2371,3371,1.81,7,12,2,1
Student 2372,3372,2.12,7,9,15,2
Student 2373,3373,1.9,2,11,10,1
Student 2374,3374,3.78,7,10,8,4
Student 2375,3375,1.25,6,9,15,5
Student 2376,3376,1.53,6,11,12,0
Student 2377,3377,2.74,0,12,0,3
Student 2378,3378,3.36,1,10,12,4
Student 2379,3379,3.55,8,10,10,3
Student 2380,3380,1.52,6,11,3,1
Student 2381,3381,3.09,9,11,9,2
Student 2382,3382,1.8,5,9,3,1
Student 2383,3383,3.88,8,12,7,4
Student 2384,3384,1.79,10,11,3,3
Student 2385,3385,3.18,6,9,15,3
Student 2386,3386,0.69,0,11,7,2
Student 2387,3387,4.11,2,9,3,5
Student 2388,3388,3.26,3,12,15,5
Student 2389,3389,1.97,0,12,1,2
Student 2390,3390,3.82,6,10,15,2
Student 2391,3391,1.17,1,12,10,1
Student 2392,3392,2.28,5,11,14,2
Student 2393,3393,1.77,1,10,14,1
Student 2394,3394,1.3,9,9,7,1
Student 2395,3395,3.58,10,10,3,2
Student 2396,3396,0.72,6,12,12,1
Student 2397,3397,1.09,8,9,0,2
Student 2398,3398,3.69,8,9,13,5
Student 2399,3399,3.18,2,9,1,2
Student 2400,3400,2.82,9,11,15,0
Student 2401,3401,2.64,0,10,6,5
Student 2402,3402,1.46,2,9,4,5
Student 2403,3403,2.45,6,9,7,4
Student 2404,3404,0.83,6,9,0,1
Student 2405,3405,2.46,0,9,4,2
Student 2406,3406,2.37,1,9,11,4
Student 2407,3407,1.33,5,9,2,4
Student 2408,3408,4.02,9,10,13,4
Student 2409,3409,3.18,0,11,12,1
Student 2410,3410,2.44,8,10,1,4
Student 2411,3411,1.43,1,9,6,0
Student 2412,3412,1.06,6,10,12,4
Student 2413,3413,3.22,10,9,14,3
Student 2414,3414,1.28,8,9,10,2
Student 2415,3415,3.59,3,10,0,0
Student 2416,3416,1.91,4,9,9,3
Student 2417,3417,1.38,3,10,12,1
Student 2418,3418,1.55,8,11,12,0
Student 2419,3419,3.95,4,10,5,3
Student 2420,3420,2.21,5,11,9,1
Student 2421,3421,2.47,5,10,11,5
Student 2422,3422,1.49,8,11,3,5
Student 2423,3423,1.86,4,9,12,0
Student 2424,3424,1.64,9,10,5,1
Student 2425,3425,1.13,1,11,10,5
Student 2426,3426,4.05,4,9,8,1
Student 2427,3427,2.84,10,11,11,5
Student 2428,3428,1.77,10,9,13,3
Student 2429,3429,2.09,5,9,5,4
Student 2430,3430,1.49,2,12,13,1
Student 2431,3431,4.21,0,11,12,1
Student 2432,3432,1.13,2,9,11,1
Student 2433,3433,3.17,7,9,2,3
Student 2434,3434,2.79,0,12,15,1
Student 2435,3435,0.87,8,9,11,1
Student 2436,3436,2.05,1,11,10,2
Student 2437,3437,1.14,10,12,5,3
Student 2438,3438,1.14,3,11,1,5
Student 2439,3439,3.21,0,12,11,1
Student 2440,3440,1.34,9,10,0,5
